,State_x,Pathway,LTCH Low ,LTCH High ,Variable (Low),Variable (High),Variable (base),Result (base),Variable Name,Variable Unit,TotalCostforSorting
1,Maine,SMRCC,7.303509010379258,7.504959010379258,0.055,0.19,0.096,7.365197990642416,Electricity Price,$/kWh,0.20144999999999946
0,Maine,SMRCC,6.480208072642685,8.692693621775632,4.258,17.428,9.526,7.365197990642416,Natural Gas Price,$/MMBTU,2.212485549132948
2,Maryland,SMRCC,7.383871825677929,7.581701826,0.006,0.03,0.013,7.438184742344598,Water Price (Hydrogen),$/gal,0.1978300000000015
1,Maryland,SMRCC,7.356522571291967,7.619772571291965,0.03,0.205,0.084,7.438184742344598,Electricity Price,$/kWh,0.26324999999999843
0,Maryland,SMRCC,6.717653806784759,8.690601783663375,5.78,17.524,10.069,7.438184742344598,Natural Gas Price,$/MMBTU,1.9729479768786167
2,Massachusetts,SMRCC,7.560535165863454,7.758365165863454,0.006,0.03,0.013,7.614848083,Water Price (Hydrogen),$/gal,0.19782999999999973
1,Massachusetts,SMRCC,7.5248979180564355,7.737147918056436,0.076,0.217,0.136,7.614848083,Electricity Price,$/kWh,0.21225000000000094
0,Massachusetts,SMRCC,6.100456540090205,9.769589488067083,1.647,23.487,10.662,7.614848083,Natural Gas Price,$/MMBTU,3.6691329479768786
1,Michigan,SMRCC,6.916690768680105,6.996040768680105,0.045,0.098,0.069,6.9534693871011575,Electricity Price,$/kWh,0.07935
2,Michigan,SMRCC,6.899156470434493,7.096986470434489,0.006,0.03,0.013,6.9534693871011575,Water Price (Hydrogen),$/gal,0.19782999999999618
0,Michigan,SMRCC,6.324784416002892,7.732876901552024,3.574,11.956,7.316,6.9534693871011575,Natural Gas Price,$/MMBTU,1.4080924855491324
1,Minnesota,SMRCC,6.615598298342411,6.712798298342411,0.037,0.102,0.068,6.661636949658201,Electricity Price,$/kWh,0.0972
2,Minnesota,SMRCC,6.607324032991533,6.805154032991533,0.006,0.03,0.013,6.661636949658201,Water Price (Hydrogen),$/gal,0.19782999999999973
0,Minnesota,SMRCC,6.1231193043889585,7.749708899764679,2.389,12.071,5.595,6.661636949658201,Natural Gas Price,$/MMBTU,1.6265895953757212
1,Mississippi,SMRCC,6.673072378050351,6.726472378050351,0.04,0.076,0.06,6.702613496471404,Electricity Price,$/kWh,0.0534
2,Mississippi,SMRCC,6.6483005798047365,6.846130579804737,0.006,0.03,0.013,6.702613496471404,Water Price (Hydrogen),$/gal,0.19783000000000062
0,Mississippi,SMRCC,6.272252985367054,8.063929286,3.343,14.008,5.905,6.702613496471404,Natural Gas Price,$/MMBTU,1.791676300578036
1,Missouri,SMRCC,7.008465761074386,7.102515761074386,0.036,0.098,0.061,7.046996517653332,Electricity Price,$/kWh,0.09405
2,Missouri,SMRCC,6.992683600986664,7.190513600986666,0.006,0.03,0.013,7.046996517653332,Water Price (Hydrogen),$/gal,0.1978300000000015
0,Missouri,SMRCC,6.1557423345076066,8.115742334507608,2.64,14.306,7.945,7.046996517653332,Natural Gas Price,$/MMBTU,1.9600000000000026
1,Montana,SMRCC,6.872820948175085,7.037520948175085,0.032,0.141,0.056,6.9091801587014015,Electricity Price,$/kWh,0.16469999999999985
2,Montana,SMRCC,6.854867242034736,7.052697242034735,0.006,0.03,0.013,6.9091801587014015,Water Price (Hydrogen),$/gal,0.19782999999999884
0,Montana,SMRCC,6.090923389611045,8.093004314466537,2.303,14.22,7.173,6.9091801587014015,Natural Gas Price,$/MMBTU,2.002080924855493
1,Nebraska,SMRCC,6.5975790406606345,6.694929040660634,0.034,0.099,0.063,6.640926573555371,Electricity Price,$/kWh,0.09735
2,Nebraska,SMRCC,6.586613656888704,6.784443656888705,0.006,0.03,0.013,6.640926573555371,Water Price (Hydrogen),$/gal,0.19783000000000062
0,Nebraska,SMRCC,6.224967492326287,7.686470382499697,3.035,11.734,5.511,6.640926573555371,Natural Gas Price,$/MMBTU,1.46150289
1,Nevada,SMRCC,7.011358396823885,7.156258396823887,0.032,0.128,0.072,7.0708092191923075,Electricity Price,$/kWh,0.14490000000000158
2,Nevada,SMRCC,7.016496303,7.214326303,0.006,0.03,0.013,7.0708092191923075,Water Price (Hydrogen),$/gal,0.19782999999999973
0,Nevada,SMRCC,6.344291591048527,8.046950550586097,3.671,13.805,7.995,7.0708092191923075,Natural Gas Price,$/MMBTU,1.7026589595375707
1,New Hampshire,SMRCC,7.425200763,7.607600763,0.082,0.204,0.127,7.491946321806055,Electricity Price,$/kWh,0.18240000000000034
2,New Hampshire,SMRCC,7.437633405,7.635463405,0.006,0.03,0.013,7.491946321806055,Water Price (Hydrogen),$/gal,0.19782999999999973
0,New Hampshire,SMRCC,6.411301356792365,8.894075923266353,3.574,18.353,10.007,7.491946321806055,Natural Gas Price,$/MMBTU,2.4827745664739878
1,New Jersey,SMRCC,7.149048731441699,7.286448731,0.071,0.163,0.107,7.202246429,Electricity Price,$/kWh,0.1374000000000013
2,New Jersey,SMRCC,7.147933512143453,7.345763512143455,0.006,0.03,0.013,7.202246429,Water Price (Hydrogen),$/gal,0.1978300000000015
0,New Jersey,SMRCC,6.430826905354884,8.776029217493612,3.873,17.832,8.465,7.202246429,Natural Gas Price,$/MMBTU,2.3452023121387287
1,New Mexico,SMRCC,6.6426533667221825,6.698153366722182,0.039,0.076,0.058,6.670545472,Electricity Price,$/kWh,0.0555
2,New Mexico,SMRCC,6.616232555318673,6.814062555318674,0.006,0.03,0.013,6.670545472,Water Price (Hydrogen),$/gal,0.1978300000000015
0,New Mexico,SMRCC,6.004988943307425,8.240133451977945,1.773,15.077,5.734,6.670545472,Natural Gas Price,$/MMBTU,2.235144508670521
1,New York,SMRCC,7.0890061474449375,7.209006147444937,0.048,0.128,0.073,7.125654009287041,Electricity Price,$/kWh,0.11999999999999922
2,New York,SMRCC,7.071341092620375,7.269171092620374,0.006,0.03,0.013,7.125654009287041,Water Price (Hydrogen),$/gal,0.19782999999999884
0,New York,SMRCC,6.460701925319897,8.362436029,4.355,15.674,8.313,7.125654009287041,Natural Gas Price,$/MMBTU,1.901734104046243
1,North Carolina,SMRCC,6.873228244595326,6.935928244595326,0.044,0.086,0.061,6.898675448542695,Electricity Price,$/kWh,0.0627
2,North Carolina,SMRCC,6.844362531876028,7.042192531876029,0.006,0.03,0.013,6.898675448542695,Water Price (Hydrogen),$/gal,0.19783000000000062
0,North Carolina,SMRCC,6.2891440419916345,8.255618030430941,3.439,15.145,7.067,6.898675448542695,Natural Gas Price,$/MMBTU,1.966473988439306
1,North Dakota,SMRCC,6.425899074,6.505999074125801,0.031,0.085,0.064,6.474529173,Electricity Price,$/kWh,0.0801
2,North Dakota,SMRCC,6.420216256143345,6.618046256143344,0.006,0.03,0.013,6.474529173,Water Price (Hydrogen),$/gal,0.19782999999999973
0,North Dakota,SMRCC,5.952074046555066,7.6045595956880145,1.407,11.243,4.516,6.474529173,Natural Gas Price,$/MMBTU,1.6524855491329493
1,Ohio,SMRCC,6.987462505472686,7.091112505472685,0.04,0.11,0.063,7.021850992314791,Electricity Price,$/kWh,0.10364999999999913
2,Ohio,SMRCC,6.9675380756481236,7.165368075648123,0.006,0.03,0.013,7.021850992314791,Water Price (Hydrogen),$/gal,0.19782999999999973
0,Ohio,SMRCC,6.379065671707181,8.288892261302557,3.95,15.318,7.776,7.021850992314791,Natural Gas Price,$/MMBTU,1.9098265895953759
1,Oklahoma,SMRCC,6.811422636644814,6.890622636644814,0.029,0.082,0.053,6.847589906381657,Electricity Price,$/kWh,0.0792
2,Oklahoma,SMRCC,6.79327699,6.99110699,0.006,0.03,0.013,6.847589906381657,Water Price (Hydrogen),$/gal,0.19783000000000062
0,Oklahoma,SMRCC,5.938079714717524,9.382241564428508,1.416,21.917,6.83,6.847589906381657,Natural Gas Price,$/MMBTU,3.4441618497109836
1,Oregon,SMRCC,6.756924903149225,6.830274903149225,0.037,0.086,0.058,6.788069146570278,Electricity Price,$/kWh,0.07335
2,Oregon,SMRCC,6.733756229903612,6.931586229903612,0.006,0.03,0.013,6.788069146570278,Water Price (Hydrogen),$/gal,0.19782999999999973
0,Oregon,SMRCC,6.336582989,7.411265069904626,3.748,10.145,6.435,6.788069146570278,Natural Gas Price,$/MMBTU,1.0746820809248563
1,Pennsylvania,SMRCC,7.2126962352094175,7.331796235209417,0.052,0.132,0.07,7.239987354,Electricity Price,$/kWh,0.11909999999999954
2,Pennsylvania,SMRCC,7.185674436963803,7.383504436963802,0.006,0.03,0.013,7.239987354,Water Price (Hydrogen),$/gal,0.19782999999999973
0,Pennsylvania,SMRCC,6.4848596327658985,8.179426106754336,4.518,14.605,9.013,7.239987354,Natural Gas Price,$/MMBTU,1.6945664739884378
2,Rhode Island,SMRCC,7.455274576505538,7.653104576505537,0.006,0.03,0.013,7.509587493172203,Water Price (Hydrogen),$/gal,0.19782999999999973
1,Rhode Island,SMRCC,7.4132958813300975,7.720195881330098,0.072,0.277,0.136,7.509587493172203,Electricity Price,$/kWh,0.3069000000000006
0,Rhode Island,SMRCC,6.4869002995973535,8.796495675319898,3.94,17.688,10.028,7.509587493172203,Natural Gas Price,$/MMBTU,2.3095953757225445
1,South Carolina,SMRCC,6.686854863760134,6.768304863760133,0.036,0.09,0.057,6.7181338111285545,Electricity Price,$/kWh,0.08145
2,South Carolina,SMRCC,6.663820894461889,6.861650894461887,0.006,0.03,0.013,6.7181338111285545,Water Price (Hydrogen),$/gal,0.19782999999999795
0,South Carolina,SMRCC,6.196026941482051,8.405275496395348,2.919,16.069,6.027,6.7181338111285545,Natural Gas Price,$/MMBTU,2.2092485549132963
1,South Dakota,SMRCC,6.686818270961822,6.769318270961822,0.041,0.096,0.066,6.724083402540768,Electricity Price,$/kWh,0.0825
2,South Dakota,SMRCC,6.669770485874102,6.867600485874101,0.006,0.03,0.013,6.724083402540768,Water Price (Hydrogen),$/gal,0.19782999999999973
0,South Dakota,SMRCC,6.319570929160786,7.585235669045181,3.574,11.108,5.982,6.724083402540768,Natural Gas Price,$/MMBTU,1.2656647398843948
1,Tennessee,SMRCC,6.7105446365524415,6.778794636552442,0.037,0.083,0.058,6.741449077341915,Electricity Price,$/kWh,0.06825
2,Tennessee,SMRCC,6.687136160675248,6.884966160675249,0.006,0.03,0.013,6.741449077341915,Water Price (Hydrogen),$/gal,0.19783000000000062
0,Tennessee,SMRCC,6.229822377099636,8.089475556290386,3.112,14.181,6.157,6.741449077341915,Natural Gas Price,$/MMBTU,1.859653179190751
1,Texas,SMRCC,6.402144921402952,6.511794921402952,0.039,0.112,0.062,6.435684230613479,Electricity Price,$/kWh,0.10965000000000025
2,Texas,SMRCC,6.381371313946813,6.579201313946812,0.006,0.03,0.013,6.435684230613479,Water Price (Hydrogen),$/gal,0.19782999999999884
0,Texas,SMRCC,5.994601176156527,8.271826609682538,1.676,15.231,4.302,6.435684230613479,Natural Gas Price,$/MMBTU,2.277225433526011
1,Utah,SMRCC,6.639442076863858,6.741742076863859,0.031,0.099,0.055,6.676318392653333,Electricity Price,$/kWh,0.1023000000000005
2,Utah,SMRCC,6.622005475986667,6.819835475986666,0.006,0.03,0.013,6.676318392653333,Water Price (Hydrogen),$/gal,0.19782999999999973
0,Utah,SMRCC,6.122760437070735,7.775245986203682,2.495,12.331,5.79,6.676318392653333,Natural Gas Price,$/MMBTU,1.6524855491329467
1,Vermont,SMRCC,6.711164894022362,6.805664894022362,0.074,0.137,0.099,6.749842197,Electricity Price,$/kWh,0.0945
2,Vermont,SMRCC,6.695529279987274,6.8933592799872745,0.006,0.03,0.013,6.749842197,Water Price (Hydrogen),$/gal,0.19783000000000062
0,Vermont,SMRCC,6.274541770733649,7.740900152236539,3.006,11.734,5.835,6.749842197,Natural Gas Price,$/MMBTU,1.4663583815028893
1,Virginia,SMRCC,6.706138975241373,6.806788975241373,0.039,0.106,0.064,6.7440855212940045,Electricity Price,$/kWh,0.1006499999999999
2,Virginia,SMRCC,6.689772604627338,6.887602604627338,0.006,0.03,0.013,6.7440855212940045,Water Price (Hydrogen),$/gal,0.19782999999999973
0,Virginia,SMRCC,6.158339626871465,8.280189337854125,2.63,15.26,6.117,6.7440855212940045,Natural Gas Price,$/MMBTU,2.1218497109826613
1,Washington,SMRCC,7.101824391,7.164374391,0.03,0.072,0.049,7.129548239714989,Electricity Price,$/kWh,0.06255
2,Washington,SMRCC,7.075235323048322,7.273065323048321,0.006,0.03,0.013,7.129548239714989,Water Price (Hydrogen),$/gal,0.19782999999999973
0,Washington,SMRCC,6.245724732971253,8.272083114474142,3.285,15.347,8.546,7.129548239714989,Natural Gas Price,$/MMBTU,2.026358382
1,West Virginia,SMRCC,6.523985453440661,6.6045354534406595,0.035,0.088,0.057,6.556747624493292,Electricity Price,$/kWh,0.08055
2,West Virginia,SMRCC,6.502434707826625,6.700264707826625,0.006,0.03,0.013,6.556747624493292,Water Price (Hydrogen),$/gal,0.19782999999999973
0,West Virginia,SMRCC,5.910704673836782,8.403190222969734,1.224,16.06,5.069,6.556747624493292,Natural Gas Price,$/MMBTU,2.4924855491329527
1,Wisconsin,SMRCC,6.7877565429423505,6.8723565429423505,0.042,0.099,0.069,6.828098154784456,Electricity Price,$/kWh,0.0846
2,Wisconsin,SMRCC,6.773785238117789,6.9716152381177885,0.006,0.03,0.013,6.828098154784456,Water Price (Hydrogen),$/gal,0.19782999999999973
0,Wisconsin,SMRCC,6.172308681100245,7.973695964337239,2.669,13.391,6.572,6.828098154784456,Natural Gas Price,$/MMBTU,1.8013872832369948
1,Wyoming,SMRCC,6.578572918509757,6.6715729185097565,0.029,0.091,0.058,6.621932293509756,Electricity Price,$/kWh,0.093
2,Wyoming,SMRCC,6.567619376843089,6.7654493768430894,0.006,0.03,0.013,6.621932293509756,Water Price (Hydrogen),$/gal,0.19783000000000062
0,Wyoming,SMRCC,6.228358814200336,7.811248987610741,3.102,12.524,5.445,6.621932293509756,Natural Gas Price,$/MMBTU,1.582890173410405
0,Alabama,Electrolysis,8.263730454589911,8.263730454589911,2.765,13.882,5.702,8.263730454589911,Natural Gas Price,$/MMBTU,0
2,Alabama,Electrolysis,8.238477955,8.330457955,0.006,0.03,0.013,8.263730454589911,Water Price (Hydrogen),$/gal,0.09198
1,Alabama,Electrolysis,6.992743941432015,10.383793941432014,0.035,0.096,0.058,8.263730454589911,Electricity Price,$/kWh,3.39105
0,Arizona,Electrolysis,8.601020750642544,8.601020750642544,2.572,12.129,6.587,8.601020750642544,Natural Gas Price,$/MMBTU,0
2,Arizona,Electrolysis,8.575768250642541,8.667748250642541,0.006,0.03,0.013,8.601020750642544,Water Price (Hydrogen),$/gal,0.09198
1,Arizona,Electrolysis,7.603243941432016,10.272793941432013,0.046,0.094,0.064,8.601020750642544,Electricity Price,$/kWh,2.6695499999999974
0,Arkansas,Electrolysis,8.190831934853069,8.190831934853069,4.875,11.917,7.396,8.190831934853069,Natural Gas Price,$/MMBTU,0
2,Arkansas,Electrolysis,8.165579434853068,8.257559434853068,0.006,0.03,0.013,8.190831934853069,Water Price (Hydrogen),$/gal,0.09198
1,Arkansas,Electrolysis,6.942793941432017,9.950893941432016,0.034,0.089,0.057,8.190831934853069,Electricity Price,$/kWh,3.008099999999999
0,California,Electrolysis,11.97133127695833,11.97133127695833,3.189,22.437,8.128,11.97133127695833,Natural Gas Price,$/MMBTU,0
2,California,Electrolysis,11.946078776958332,12.038058776958332,0.006,0.03,0.013,11.97133127695833,Water Price (Hydrogen),$/gal,0.09198
1,California,Electrolysis,8.219293941432017,19.197193941432012,0.058,0.255,0.125,11.97133127695833,Electricity Price,$/kWh,10.977899999999993
0,Colorado,Electrolysis,8.879324040116224,8.879324040116224,2.929,15.655,6.925,8.879324040116224,Natural Gas Price,$/MMBTU,0
2,Colorado,Electrolysis,8.854071540116227,8.946051540116226,0.006,0.03,0.013,8.879324040116224,Water Price (Hydrogen),$/gal,0.09198
1,Colorado,Electrolysis,7.003843941432017,10.455943941432018,0.036,0.098,0.069,8.879324040116224,Electricity Price,$/kWh,3.4521000000000015
0,Connecticut,Electrolysis,12.104586046695168,12.104586046695168,3.015,17.033,7.905,12.104586046695168,Natural Gas Price,$/MMBTU,0
2,Connecticut,Electrolysis,12.079333546695167,12.17131354669517,0.006,0.03,0.013,12.104586046695168,Water Price (Hydrogen),$/gal,0.09198
1,Connecticut,Electrolysis,8.824243941432016,16.97164394143201,0.068,0.215,0.128,12.104586046695168,Electricity Price,$/kWh,8.147399999999994
0,Delaware,Electrolysis,9.422804138800437,9.422804138800437,2.563,24.595,10.674,9.422804138800437,Natural Gas Price,$/MMBTU,0
2,Delaware,Electrolysis,9.397551638800438,9.489531638800434,0.006,0.03,0.013,9.422804138800437,Water Price (Hydrogen),$/gal,0.09198
1,Delaware,Electrolysis,6.626443941432015,12.698143941432011,0.029,0.138,0.079,9.422804138800437,Electricity Price,$/kWh,6.071699999999996
0,Florida,Electrolysis,9.297947395379385,9.297947395379385,3.892,13.555,7.346,9.297947395379385,Natural Gas Price,$/MMBTU,0
2,Florida,Electrolysis,9.272694895379383,9.364674895379384,0.006,0.03,0.013,9.297947395379385,Water Price (Hydrogen),$/gal,0.09198
1,Florida,Electrolysis,7.769743941432015,10.722343941432015,0.049,0.103,0.077,9.297947395379385,Electricity Price,$/kWh,2.9526000000000003
0,Georgia,Electrolysis,8.358609895379383,8.358609895379383,2.746,14.239,6.016,8.358609895379383,Natural Gas Price,$/MMBTU,0
2,Georgia,Electrolysis,8.333357395379384,8.425337395379385,0.006,0.03,0.013,8.358609895379383,Water Price (Hydrogen),$/gal,0.09198
1,Georgia,Electrolysis,7.009393941432016,11.937793941432016,0.036,0.124,0.06,8.358609895379383,Electricity Price,$/kWh,4.9284
0,Idaho,Electrolysis,8.048266309853068,8.048266309853068,3.353,10.154,5.87,8.048266309853068,Natural Gas Price,$/MMBTU,0
2,Idaho,Electrolysis,8.023013809853069,8.11499381,0.006,0.03,0.013,8.048266309853068,Water Price (Hydrogen),$/gal,0.09198
1,Idaho,Electrolysis,6.7374439414320175,10.544743941432012,0.031,0.099,0.054,8.048266309853068,Electricity Price,$/kWh,3.8072999999999944
0,Illinois,Electrolysis,8.686352001,8.686352001,2.495,15.385,7.07,8.686352001,Natural Gas Price,$/MMBTU,0
2,Illinois,Electrolysis,8.661099501,8.753079500642539,0.006,0.03,0.013,8.686352001,Water Price (Hydrogen),$/gal,0.09198
1,Illinois,Electrolysis,7.192543941432013,11.02204394143201,0.039,0.108,0.066,8.686352001,Electricity Price,$/kWh,3.829499999999996
0,Indiana,Electrolysis,8.559687856,8.559687856,3.218,14.461,6.93,8.559687856,Natural Gas Price,$/MMBTU,0
2,Indiana,Electrolysis,8.534435355905696,8.626415356,0.006,0.03,0.013,8.559687856,Water Price (Hydrogen),$/gal,0.09198
1,Indiana,Electrolysis,7.1425939414320165,10.522543941432016,0.038,0.099,0.064,8.559687856,Electricity Price,$/kWh,3.379949999999999
0,Iowa,Electrolysis,8.144387198010964,8.144387198010964,3.179,11.965,6.2,8.144387198010964,Natural Gas Price,$/MMBTU,0
2,Iowa,Electrolysis,8.119134698010964,8.211114698010961,0.006,0.03,0.013,8.144387198010964,Water Price (Hydrogen),$/gal,0.09198
1,Iowa,Electrolysis,7.048243941432018,10.117393941432017,0.036,0.092,0.056,8.144387198010964,Electricity Price,$/kWh,3.0691499999999987
0,Kansas,Electrolysis,8.690277165116225,8.690277165116225,2.707,12.389,5.755,8.690277165116225,Natural Gas Price,$/MMBTU,0
2,Kansas,Electrolysis,8.665024665116224,8.757004665116225,0.006,0.03,0.013,8.690277165116225,Water Price (Hydrogen),$/gal,0.09198
1,Kansas,Electrolysis,7.3035439414320145,10.072993941432019,0.041,0.091,0.066,8.690277165116225,Electricity Price,$/kWh,2.7694500000000044
0,Kentucky,Electrolysis,7.905299040116224,7.905299040116224,2.601,13.825,5.571,7.905299040116224,Natural Gas Price,$/MMBTU,0
2,Kentucky,Electrolysis,7.8800465401162265,7.972026540116226,0.006,0.03,0.013,7.905299040116224,Water Price (Hydrogen),$/gal,0.09198
1,Kentucky,Electrolysis,6.5320939414320165,9.767743941432013,0.027,0.085,0.052,7.905299040116224,Electricity Price,$/kWh,3.235649999999996
0,Louisiana,Electrolysis,8.279376342747806,8.279376342747806,1.908,14.171,4.702,8.279376342747806,Natural Gas Price,$/MMBTU,0
2,Louisiana,Electrolysis,8.254123842747806,8.346103842747805,0.006,0.03,0.013,8.279376342747806,Water Price (Hydrogen),$/gal,0.09198
1,Louisiana,Electrolysis,7.087093941432016,10.394893941432013,0.037,0.097,0.059,8.279376342747806,Electricity Price,$/kWh,3.3077999999999967
0,Maine,Electrolysis,10.374136211168857,10.374136211168857,4.258,17.428,9.526,10.374136211168857,Natural Gas Price,$/MMBTU,0
2,Maine,Electrolysis,10.348883711168853,10.440863711168856,0.006,0.03,0.013,10.374136211168857,Water Price (Hydrogen),$/gal,0.09198
1,Maine,Electrolysis,8.091643941432016,15.54529394143201,0.055,0.19,0.096,10.374136211168857,Electricity Price,$/kWh,7.453649999999993
0,Maryland,Electrolysis,9.697894270379383,9.697894270379383,5.78,17.524,10.069,9.697894270379383,Natural Gas Price,$/MMBTU,0
2,Maryland,Electrolysis,9.672641770379386,9.764621770379385,0.006,0.03,0.013,9.697894270379383,Water Price (Hydrogen),$/gal,0.09198
1,Maryland,Electrolysis,6.676393941432018,16.416643941432007,0.03,0.205,0.084,9.697894270379383,Electricity Price,$/kWh,9.740249999999989
0,Massachusetts,Electrolysis,12.552000026958329,12.552000026958329,1.647,23.487,10.662,12.552000026958329,Natural Gas Price,$/MMBTU,0
2,Massachusetts,Electrolysis,12.526747526958331,12.618727526958327,0.006,0.03,0.013,12.552000026958329,Water Price (Hydrogen),$/gal,0.09198
1,Massachusetts,Electrolysis,9.223843941432015,17.077093941432008,0.076,0.217,0.136,12.552000026958329,Electricity Price,$/kWh,7.853249999999992
0,Michigan,Electrolysis,8.875252823010962,8.875252823010962,3.574,11.956,7.316,8.875252823010962,Natural Gas Price,$/MMBTU,0
2,Michigan,Electrolysis,8.850000323010963,8.941980323010963,0.006,0.03,0.013,8.875252823010962,Water Price (Hydrogen),$/gal,0.09198
1,Michigan,Electrolysis,7.514443941432017,10.450393941432012,0.045,0.098,0.069,8.875252823010962,Electricity Price,$/kWh,2.9359499999999947
0,Minnesota,Electrolysis,8.779424040116226,8.779424040116226,2.389,12.071,5.595,8.779424040116226,Natural Gas Price,$/MMBTU,0
2,Minnesota,Electrolysis,8.754171540116225,8.846151540116226,0.006,0.03,0.013,8.779424040116226,Water Price (Hydrogen),$/gal,0.09198
1,Minnesota,Electrolysis,7.075993941432017,10.672393941432013,0.037,0.102,0.068,8.779424040116226,Electricity Price,$/kWh,3.5963999999999956
0,Mississippi,Electrolysis,8.368815323010963,8.368815323010963,3.343,14.008,5.905,8.368815323010963,Natural Gas Price,$/MMBTU,0
2,Mississippi,Electrolysis,8.343562823010961,8.435542823010962,0.006,0.03,0.013,8.368815323010963,Water Price (Hydrogen),$/gal,0.09198
1,Mississippi,Electrolysis,7.275793941432015,9.251593941432013,0.04,0.076,0.06,8.368815323010963,Electricity Price,$/kWh,1.9757999999999978
0,Missouri,Electrolysis,8.429481934853069,8.429481934853069,2.64,14.306,7.945,8.429481934853069,Natural Gas Price,$/MMBTU,0
2,Missouri,Electrolysis,8.404229434853068,8.496209434853068,0.006,0.03,0.013,8.429481934853069,Water Price (Hydrogen),$/gal,0.09198
1,Missouri,Electrolysis,7.003843941432017,10.483693941432012,0.036,0.098,0.061,8.429481934853069,Electricity Price,$/kWh,3.4798499999999954
0,Montana,Electrolysis,8.127134730905702,8.127134730905702,2.303,14.22,7.173,8.127134730905702,Natural Gas Price,$/MMBTU,0
2,Montana,Electrolysis,8.101882231,8.193862231,0.006,0.03,0.013,8.127134730905702,Water Price (Hydrogen),$/gal,0.09198
1,Montana,Electrolysis,6.781843941432016,12.875743941432011,0.032,0.141,0.056,8.127134730905702,Electricity Price,$/kWh,6.093899999999994
0,Nebraska,Electrolysis,8.535552658537279,8.535552658537279,3.035,11.734,5.511,8.535552658537279,Natural Gas Price,$/MMBTU,0
2,Nebraska,Electrolysis,8.510300159,8.602280159,0.006,0.03,0.013,8.535552658537279,Water Price (Hydrogen),$/gal,0.09198
1,Nebraska,Electrolysis,6.931693941432016,10.533643941432015,0.034,0.099,0.063,8.535552658537279,Electricity Price,$/kWh,3.6019499999999987
0,Nevada,Electrolysis,8.998174369063594,8.998174369063594,3.671,13.805,7.995,8.998174369063594,Natural Gas Price,$/MMBTU,0
2,Nevada,Electrolysis,8.972921869063594,9.064901869063593,0.006,0.03,0.013,8.998174369063594,Water Price (Hydrogen),$/gal,0.09198
1,Nevada,Electrolysis,6.798493941432016,12.159793941432014,0.032,0.128,0.072,8.998174369063594,Electricity Price,$/kWh,5.361299999999998
0,New Hampshire,Electrolysis,12.076379632221487,12.076379632221487,3.574,18.353,10.007,12.076379632221487,Natural Gas Price,$/MMBTU,0
2,New Hampshire,Electrolysis,12.051127132221488,12.14310713222149,0.006,0.03,0.013,12.076379632221487,Water Price (Hydrogen),$/gal,0.09198
1,New Hampshire,Electrolysis,9.606793941432015,16.355593941432012,0.082,0.204,0.127,12.076379632221487,Electricity Price,$/kWh,6.7487999999999975
0,New Jersey,Electrolysis,10.942408744063592,10.942408744063592,3.873,17.832,8.465,10.942408744063592,Natural Gas Price,$/MMBTU,0
2,New Jersey,Electrolysis,10.917156244063591,11.009136244063594,0.006,0.03,0.013,10.942408744063592,Water Price (Hydrogen),$/gal,0.09198
1,New Jersey,Electrolysis,8.974093941432013,14.05789394143201,0.071,0.163,0.107,10.942408744063592,Electricity Price,$/kWh,5.0837999999999965
0,New Mexico,Electrolysis,8.241201836168859,8.241201836168859,1.773,15.077,5.734,8.241201836168859,Natural Gas Price,$/MMBTU,0
2,New Mexico,Electrolysis,8.215949336168856,8.307929336168858,0.006,0.03,0.013,8.241201836168859,Water Price (Hydrogen),$/gal,0.09198
1,New Mexico,Electrolysis,7.209193941432018,9.262693941432016,0.039,0.076,0.058,8.241201836168859,Electricity Price,$/kWh,2.053499999999998
0,New York,Electrolysis,9.05356483,9.05356483,4.355,15.674,8.313,9.05356483,Natural Gas Price,$/MMBTU,0
2,New York,Electrolysis,9.028312329589909,9.12029233,0.006,0.03,0.013,9.05356483,Water Price (Hydrogen),$/gal,0.09198
1,New York,Electrolysis,7.697593941432016,12.137593941432012,0.048,0.128,0.073,9.05356483,Electricity Price,$/kWh,4.439999999999996
0,North Carolina,Electrolysis,8.394940487484646,8.394940487484646,3.439,15.145,7.067,8.394940487484646,Natural Gas Price,$/MMBTU,0
2,North Carolina,Electrolysis,8.369687987484646,8.461667987484645,0.006,0.03,0.013,8.394940487484646,Water Price (Hydrogen),$/gal,0.09198
1,North Carolina,Electrolysis,7.453393941432016,9.773293941,0.044,0.086,0.061,8.394940487484646,Electricity Price,$/kWh,2.3198999999999934
0,North Dakota,Electrolysis,8.558957592747806,8.558957592747806,1.407,11.243,4.516,8.558957592747806,Natural Gas Price,$/MMBTU,0
2,North Dakota,Electrolysis,8.533705092747805,8.625685092747807,0.006,0.03,0.013,8.558957592747806,Water Price (Hydrogen),$/gal,0.09198
1,North Dakota,Electrolysis,6.759643941432016,9.723343941432017,0.031,0.085,0.064,8.558957592747806,Electricity Price,$/kWh,2.9636999999999993
0,Ohio,Electrolysis,8.548167955,8.548167955,3.95,15.318,7.776,8.548167955,Natural Gas Price,$/MMBTU,0
2,Ohio,Electrolysis,8.522915455,8.614895455,0.006,0.03,0.013,8.548167955,Water Price (Hydrogen),$/gal,0.09198
1,Ohio,Electrolysis,7.275793941432015,11.110843941432016,0.04,0.11,0.063,8.548167955,Electricity Price,$/kWh,3.8350500000000007
