,State_x,Pathway,LTCH Low ,LTCH High ,Variable (Low),Variable (High),Variable (base),Result (base),Variable Name,Variable Unit,TotalCostforSorting
2,Maryland,SMR,6.245046950838924,6.350750950838923,0.006,0.03,0.013,6.274067284172256,Water Price (Hydrogen),$/gal,0.10570399999999847
0,Maryland,SMR,5.596425094776696,7.451935692,5.78,17.524,10.069,6.274067284172256,Natural Gas Price,$/MMBTU,1.8555105973025032
1,Massachusetts,SMR,6.366558114995232,6.384953114995232,0.076,0.217,0.136,6.374353795916286,Electricity Price,$/kWh,0.018395
2,Massachusetts,SMR,6.3453334625829525,6.451037462582953,0.006,0.03,0.013,6.374353795916286,Water Price (Hydrogen),$/gal,0.10570400000000024
0,Massachusetts,SMR,4.950104607193032,8.400836784457002,1.647,23.487,10.662,6.374353795916286,Natural Gas Price,$/MMBTU,3.450732177
1,Michigan,SMR,5.833999772129398,5.840876772129398,0.045,0.098,0.069,5.837187252392557,Electricity Price,$/kWh,0.006877
2,Michigan,SMR,5.808166919059222,5.913870919059224,0.006,0.03,0.013,5.837187252392557,Water Price (Hydrogen),$/gal,0.10570400000000113
0,Michigan,SMR,5.245924005764425,6.5702014624118235,3.574,11.956,7.316,5.837187252392557,Natural Gas Price,$/MMBTU,1.3242774566473985
1,Minnesota,SMR,5.560947115502281,5.569371115502281,0.037,0.102,0.068,5.564937131949649,Electricity Price,$/kWh,0.008424
2,Minnesota,SMR,5.5359167986163165,5.641620798616317,0.006,0.03,0.013,5.564937131949649,Water Price (Hydrogen),$/gal,0.10570400000000024
0,Minnesota,SMR,5.058474108422624,6.588242894549792,2.389,12.071,5.595,5.564937131949649,Natural Gas Price,$/MMBTU,1.5297687861271676
1,Mississippi,SMR,5.610389547608558,5.615017547608559,0.04,0.076,0.06,5.612949777871716,Electricity Price,$/kWh,0.004628
2,Mississippi,SMR,5.5839294445383825,5.689633444538383,0.006,0.03,0.013,5.612949777871716,Water Price (Hydrogen),$/gal,0.10570400000000024
0,Mississippi,SMR,5.208205964,6.893234865591015,3.343,14.008,5.905,5.612949777871716,Natural Gas Price,$/MMBTU,1.6850289017341051
1,Missouri,SMR,5.932094538785924,5.940245538785924,0.036,0.098,0.061,5.935433871022766,Electricity Price,$/kWh,0.008151
2,Missouri,SMR,5.906413537689432,6.0121175376894325,0.006,0.03,0.013,5.935433871022766,Water Price (Hydrogen),$/gal,0.10570400000000024
0,Missouri,SMR,5.0972305321119045,6.940563865445238,2.64,14.306,7.945,5.935433871022766,Natural Gas Price,$/MMBTU,1.8433333333333337
1,Montana,SMR,5.809646679035391,5.823920679035392,0.032,0.141,0.056,5.812797810614339,Electricity Price,$/kWh,0.014274000000000342
2,Montana,SMR,5.7837774772810056,5.889481477281005,0.006,0.03,0.013,5.812797810614339,Water Price (Hydrogen),$/gal,0.10570399999999935
0,Montana,SMR,5.043246801588885,6.9261562428220245,2.303,14.22,7.173,5.812797810614339,Natural Gas Price,$/MMBTU,1.8829094412331395
1,Nebraska,SMR,5.547330289825372,5.555767289825372,0.034,0.099,0.063,5.551087076009583,Electricity Price,$/kWh,0.008437
2,Nebraska,SMR,5.522066742676249,5.627770742676249,0.006,0.03,0.013,5.551087076009583,Water Price (Hydrogen),$/gal,0.10570400000000024
0,Nebraska,SMR,5.159887463901277,6.534396134,3.035,11.734,5.511,5.551087076009583,Natural Gas Price,$/MMBTU,1.3745086705202327
1,Nevada,SMR,5.9395536366931925,5.952111636693192,0.032,0.128,0.072,5.944706041298456,Electricity Price,$/kWh,0.012557999999999403
2,Nevada,SMR,5.915685707965122,6.021389707965122,0.006,0.03,0.013,5.944706041298456,Water Price (Hydrogen),$/gal,0.10570400000000024
0,Nevada,SMR,5.261433510067994,6.862743722014044,3.671,13.805,7.995,5.944706041298456,Natural Gas Price,$/MMBTU,1.6013102119460498
1,New Hampshire,SMR,6.263958385454618,6.279766385454619,0.082,0.204,0.127,6.269743000586197,Electricity Price,$/kWh,0.015808
2,New Hampshire,SMR,6.2407226672528635,6.346426667252864,0.006,0.03,0.013,6.269743000586197,Water Price (Hydrogen),$/gal,0.10570400000000024
0,New Hampshire,SMR,5.253422140632845,7.588412506721479,3.574,18.353,10.007,6.269743000586197,Natural Gas Price,$/MMBTU,2.3349903660886335
1,New Jersey,SMR,6.0188441180599455,6.0307521180599455,0.071,0.163,0.107,6.023454585165208,Electricity Price,$/kWh,0.011908
2,New Jersey,SMR,5.9944342518318745,6.100138251831874,0.006,0.03,0.013,6.023454585165208,Water Price (Hydrogen),$/gal,0.10570399999999935
0,New Jersey,SMR,5.297952890487069,7.503559826903253,3.873,17.832,8.465,6.023454585165208,Natural Gas Price,$/MMBTU,2.205606936416183
1,New Mexico,SMR,5.583318048859448,5.588128048859447,0.039,0.076,0.058,5.585735364648921,Electricity Price,$/kWh,0.00481
2,New Mexico,SMR,5.556715031315588,5.662419031315588,0.006,0.03,0.013,5.585735364648921,Water Price (Hydrogen),$/gal,0.10570400000000024
0,New Mexico,SMR,4.959795296011357,7.061895488689586,1.773,15.077,5.734,5.585735364648921,Natural Gas Price,$/MMBTU,2.102100192678229
1,New York,SMR,5.991831925967752,6.002231925967751,0.048,0.128,0.073,5.995008073994066,Electricity Price,$/kWh,0.010399999999998855
2,New York,SMR,5.965987740660735,6.071691740660733,0.006,0.03,0.013,5.995008073994066,Water Price (Hydrogen),$/gal,0.10570399999999847
0,New York,SMR,5.369636471215443,7.158172116687506,4.355,15.674,8.313,5.995008073994066,Natural Gas Price,$/MMBTU,1.788535645472063
1,North Carolina,SMR,5.794533088763952,5.799967088763951,0.044,0.086,0.061,5.796738513106057,Electricity Price,$/kWh,0.005434
2,North Carolina,SMR,5.767718179772723,5.873422179772724,0.006,0.03,0.013,5.796738513106057,Water Price (Hydrogen),$/gal,0.10570400000000113
0,North Carolina,SMR,5.2234887378973225,7.072910703215243,3.439,15.145,7.067,5.796738513106057,Natural Gas Price,$/MMBTU,1.8494219653179202
1,North Dakota,SMR,5.389839583203326,5.396781583203325,0.031,0.085,0.064,5.3940541917559575,Electricity Price,$/kWh,0.006942
2,North Dakota,SMR,5.365033858422624,5.470737858422624,0.006,0.03,0.013,5.3940541917559575,Water Price (Hydrogen),$/gal,0.10570400000000024
0,North Dakota,SMR,4.902697584920951,6.456820898986462,1.407,11.243,4.516,5.3940541917559575,Natural Gas Price,$/MMBTU,1.554123314065511
1,Ohio,SMR,5.906065976970038,5.915048976970039,0.04,0.11,0.063,5.909046312496354,Electricity Price,$/kWh,0.008983
2,Ohio,SMR,5.880025979163021,5.985729979163021,0.006,0.03,0.013,5.909046312496354,Water Price (Hydrogen),$/gal,0.10570400000000024
0,Ohio,SMR,5.304522022877293,7.100668458330087,3.95,15.318,7.776,5.909046312496354,Natural Gas Price,$/MMBTU,1.796146435452794
1,Oklahoma,SMR,5.755104814620018,5.761968814620017,0.029,0.082,0.053,5.758239311330543,Electricity Price,$/kWh,0.006864
2,Oklahoma,SMR,5.729218977997211,5.834922978,0.006,0.03,0.013,5.758239311330543,Water Price (Hydrogen),$/gal,0.10570399999999935
0,Oklahoma,SMR,4.902866631074992,8.142018846874608,1.416,21.917,6.83,5.758239311330543,Natural Gas Price,$/MMBTU,3.2391522157996153
1,Oregon,SMR,5.693733350975357,5.7000903509753575,0.037,0.086,0.058,5.696432518738515,Electricity Price,$/kWh,0.006357
2,Oregon,SMR,5.6674121854051815,5.773116185405182,0.006,0.03,0.013,5.696432518738515,Water Price (Hydrogen),$/gal,0.10570400000000024
0,Oregon,SMR,5.271820537195061,6.282533446636294,3.748,10.145,6.435,5.696432518738515,Natural Gas Price,$/MMBTU,1.0107129094412333
1,Pennsylvania,SMR,6.103036651365297,6.113358651365298,0.052,0.132,0.07,6.105401881628455,Electricity Price,$/kWh,0.010322000000001275
2,Pennsylvania,SMR,6.076381548295123,6.182085548295123,0.006,0.03,0.013,6.105401881628455,Water Price (Hydrogen),$/gal,0.10570400000000024
0,Pennsylvania,SMR,5.395222239386776,6.988921661352093,4.518,14.605,9.013,6.105401881628455,Natural Gas Price,$/MMBTU,1.5936994219653169
1,Rhode Island,SMR,6.265953485216892,6.292551485216892,0.072,0.277,0.136,6.274298758243208,Electricity Price,$/kWh,0.026598
2,Rhode Island,SMR,6.245278424909873,6.3509824249098745,0.006,0.03,0.013,6.274298758243208,Water Price (Hydrogen),$/gal,0.10570400000000113
0,Rhode Island,SMR,5.312485802381147,7.484605262882112,3.94,17.688,10.028,6.274298758243208,Natural Gas Price,$/MMBTU,2.172119460500965
1,South Carolina,SMR,5.629114861549901,5.636173861549901,0.036,0.09,0.057,5.6318257036551636,Electricity Price,$/kWh,0.007059
2,South Carolina,SMR,5.60280537,5.708509370321831,0.006,0.03,0.013,5.6318257036551636,Water Price (Hydrogen),$/gal,0.10570400000000113
0,South Carolina,SMR,5.140796623868572,7.218542288608456,2.919,16.069,6.027,5.6318257036551636,Natural Gas Price,$/MMBTU,2.0777456647398838
1,South Dakota,SMR,5.622676875465773,5.629826875465773,0.041,0.096,0.066,5.625906520202616,Electricity Price,$/kWh,0.00715
2,South Dakota,SMR,5.596886186869282,5.7025901868692825,0.006,0.03,0.013,5.625906520202616,Water Price (Hydrogen),$/gal,0.10570400000000024
0,South Dakota,SMR,5.245472170238109,6.435799723224621,3.574,11.108,5.982,5.625906520202616,Natural Gas Price,$/MMBTU,1.1903275529865116
1,Tennessee,SMR,5.649857672,5.655772671676001,0.037,0.083,0.058,5.652536056544421,Electricity Price,$/kWh,0.005915
2,Tennessee,SMR,5.623515723211088,5.729219723211088,0.006,0.03,0.013,5.652536056544421,Water Price (Hydrogen),$/gal,0.10570400000000024
0,Tennessee,SMR,5.171363326554659,6.9203228641269146,3.112,14.181,6.157,5.652536056544421,Natural Gas Price,$/MMBTU,1.7489595375722553
1,Texas,SMR,5.356997510999696,5.366500510999695,0.039,0.112,0.062,5.359904251131274,Electricity Price,$/kWh,0.009503
2,Texas,SMR,5.330883917797941,5.436587917797941,0.006,0.03,0.013,5.359904251131274,Water Price (Hydrogen),$/gal,0.10570400000000024
0,Texas,SMR,4.945076140391998,7.086752440970033,1.676,15.231,4.302,5.359904251131274,Natural Gas Price,$/MMBTU,2.141676300578035
1,Utah,SMR,5.591055907206977,5.599921907206976,0.031,0.099,0.055,5.594251854575397,Electricity Price,$/kWh,0.008866
2,Utah,SMR,5.5652315212420636,5.670935521242064,0.006,0.03,0.013,5.594251854575397,Water Price (Hydrogen),$/gal,0.10570400000000024
0,Utah,SMR,5.073643777301287,6.627767091366797,2.495,12.331,5.79,5.594251854575397,Natural Gas Price,$/MMBTU,1.5541233140655102
1,Vermont,SMR,5.603694937629855,5.6118849376298545,0.074,0.137,0.099,5.607046970524591,Electricity Price,$/kWh,0.00819
2,Vermont,SMR,5.5780266371912575,5.683730637191259,0.006,0.03,0.013,5.607046970524591,Water Price (Hydrogen),$/gal,0.10570400000000113
0,Vermont,SMR,5.160038236623364,6.539113381132035,3.006,11.734,5.835,5.607046970524591,Natural Gas Price,$/MMBTU,1.379075144508671
1,Virginia,SMR,5.643665109252495,5.652388109252495,0.039,0.106,0.064,5.64695381,Electricity Price,$/kWh,0.008723
2,Virginia,SMR,5.617933476577057,5.723637476577056,0.006,0.03,0.013,5.64695381,Water Price (Hydrogen),$/gal,0.10570399999999935
0,Virginia,SMR,5.096073742536811,7.091622875484788,2.63,15.26,6.117,5.64695381,Natural Gas Price,$/MMBTU,1.9955491329479766
1,Washington,SMR,6.026427750292532,6.031848750292532,0.03,0.072,0.049,6.028830483845163,Electricity Price,$/kWh,0.005421
2,Washington,SMR,5.999810150511831,6.105514151,0.006,0.03,0.013,6.028830483845163,Water Price (Hydrogen),$/gal,0.10570399999999935
0,Washington,SMR,5.1976155191695055,7.103357330344844,3.285,15.347,8.546,6.028830483845163,Natural Gas Price,$/MMBTU,1.9057418111753384
1,West Virginia,SMR,5.477604987558968,5.484585987558969,0.035,0.088,0.057,5.480444375716862,Electricity Price,$/kWh,0.006981
2,West Virginia,SMR,5.451424042383529,5.557128042,0.006,0.03,0.013,5.480444375716862,Water Price (Hydrogen),$/gal,0.10570400000000113
0,West Virginia,SMR,4.872856362599431,7.216979676664943,1.224,16.06,5.069,5.480444375716862,Natural Gas Price,$/MMBTU,2.344123314065512
1,Wisconsin,SMR,5.716070059828414,5.723402059828414,0.042,0.099,0.069,5.719566332854731,Electricity Price,$/kWh,0.007332
2,Wisconsin,SMR,5.690545999521397,5.796249999521397,0.006,0.03,0.013,5.719566332854731,Water Price (Hydrogen),$/gal,0.10570399999999935
