State,CNG Price
AL,2.87
AZ,3.51
AR,2.87
CA,3.51
CO,2.45
CT,3.72
DE,2.81
FL,2.53
GA,2.53
ID,2.45
IL,2.75
IN,2.75
IA,2.75
KS,2.75
KY,2.75
LA,2.87
ME,3.72
MD,2.81
MA,3.72
MI,2.75
MN,2.75
MS,2.87
MO,2.75
MT,2.45
NE,2.75
NV,3.51
NH,3.72
NJ,2.81
NM,2.87
NY,2.81
NC,2.53
ND,2.75
OH,2.75
OK,2.75
OR,3.51
PA,2.81
RI,3.72
SC,2.53
SD,2.75
TN,2.75
TX,2.87
UT,2.45
VT,3.72
VA,2.53
WA,3.51
WV,2.53
WI,2.75
WY,2.45
